=== RUN   TestHandler
2024/08/08 13:32:47 Processing S3 object from bucket nextjsblog619f9308251149be95e1a59d89c85e5e233823-dev with key private/us-east-1:d0793677-36a8-4f9d-96aa-af199ce7dd0f/uploads/RCC_Tahuya.fit
2024-08-03 14:07:33 +0000 UTC
Edge840
Activity
time: 2024-08-03 14:08:23 +0000 UTC, lat: 47.61544, long: -122.35584, power: 192, cadence: 79, distance: 43914
time: 2024-08-03 14:08:24 +0000 UTC, lat: 47.61540, long: -122.35575, power: 191, cadence: 78, distance: 44755
time: 2024-08-03 14:08:25 +0000 UTC, lat: 47.61535, long: -122.35567, power: 96, cadence: 78, distance: 45560
time: 2024-08-03 14:08:26 +0000 UTC, lat: 47.61530, long: -122.35559, power: 0, cadence: 52, distance: 46359
time: 2024-08-03 14:08:27 +0000 UTC, lat: 47.61525, long: -122.35551, power: 0, cadence: 52, distance: 47150
time: 2024-08-03 14:08:28 +0000 UTC, lat: 47.61521, long: -122.35542, power: 0, cadence: 52, distance: 47947
time: 2024-08-03 14:08:29 +0000 UTC, lat: 47.61517, long: -122.35534, power: 0, cadence: 0, distance: 48754
time: 2024-08-03 14:08:30 +0000 UTC, lat: 47.61513, long: -122.35526, power: 0, cadence: 0, distance: 49542
time: 2024-08-03 14:08:31 +0000 UTC, lat: 47.61510, long: -122.35516, power: 0, cadence: 0, distance: 50302
time: 2024-08-03 14:08:32 +0000 UTC, lat: 47.61509, long: -122.35506, power: 0, cadence: 11, distance: 51042
time: 2024-08-03 14:08:33 +0000 UTC, lat: 47.61504, long: -122.35498, power: 151, cadence: 76, distance: 51813
time: 2024-08-03 14:08:34 +0000 UTC, lat: 47.61499, long: -122.35491, power: 271, cadence: 81, distance: 52588
time: 2024-08-03 14:08:35 +0000 UTC, lat: 47.61493, long: -122.35487, power: 253, cadence: 80, distance: 53329
time: 2024-08-03 14:08:36 +0000 UTC, lat: 47.61486, long: -122.35482, power: 223, cadence: 82, distance: 54052
time: 2024-08-03 14:08:37 +0000 UTC, lat: 47.61480, long: -122.35477, power: 184, cadence: 83, distance: 54874
time: 2024-08-03 14:08:38 +0000 UTC, lat: 47.61475, long: -122.35469, power: 126, cadence: 74, distance: 55718
time: 2024-08-03 14:08:39 +0000 UTC, lat: 47.61470, long: -122.35461, power: 150, cadence: 75, distance: 56521
time: 2024-08-03 14:08:40 +0000 UTC, lat: 47.61465, long: -122.35453, power: 173, cadence: 74, distance: 57354
time: 2024-08-03 14:08:41 +0000 UTC, lat: 47.61460, long: -122.35445, power: 158, cadence: 76, distance: 58139
time: 2024-08-03 14:08:42 +0000 UTC, lat: 47.61456, long: -122.35437, power: 162, cadence: 75, distance: 58927
time: 2024-08-03 14:08:43 +0000 UTC, lat: 47.61451, long: -122.35429, power: 157, cadence: 74, distance: 59733
time: 2024-08-03 14:08:44 +0000 UTC, lat: 47.61446, long: -122.35420, power: 177, cadence: 74, distance: 60576
time: 2024-08-03 14:08:45 +0000 UTC, lat: 47.61441, long: -122.35412, power: 163, cadence: 77, distance: 61422
time: 2024-08-03 14:08:46 +0000 UTC, lat: 47.61436, long: -122.35403, power: 236, cadence: 73, distance: 62267
time: 2024-08-03 14:08:47 +0000 UTC, lat: 47.61432, long: -122.35394, power: 257, cadence: 78, distance: 63136
time: 2024-08-03 14:08:48 +0000 UTC, lat: 47.61427, long: -122.35386, power: 202, cadence: 76, distance: 63958
time: 2024-08-03 14:08:49 +0000 UTC, lat: 47.61422, long: -122.35378, power: 165, cadence: 78, distance: 64732
time: 2024-08-03 14:08:50 +0000 UTC, lat: 47.61416, long: -122.35370, power: 192, cadence: 76, distance: 65623
time: 2024-08-03 14:08:51 +0000 UTC, lat: 47.61411, long: -122.35362, power: 180, cadence: 76, distance: 66450
time: 2024-08-03 14:08:52 +0000 UTC, lat: 47.61406, long: -122.35355, power: 182, cadence: 76, distance: 67231
time: 2024-08-03 14:08:53 +0000 UTC, lat: 47.61402, long: -122.35349, power: 195, cadence: 76, distance: 67964
time: 2024-08-03 14:08:54 +0000 UTC, lat: 47.61397, long: -122.35341, power: 167, cadence: 76, distance: 68711
time: 2024-08-03 14:08:55 +0000 UTC, lat: 47.61392, long: -122.35333, power: 175, cadence: 84, distance: 69455
time: 2024-08-03 14:08:56 +0000 UTC, lat: 47.61387, long: -122.35325, power: 174, cadence: 83, distance: 70322
time: 2024-08-03 14:08:57 +0000 UTC, lat: 47.61382, long: -122.35316, power: 163, cadence: 86, distance: 71147
time: 2024-08-03 14:08:58 +0000 UTC, lat: 47.61378, long: -122.35307, power: 0, cadence: 86, distance: 71970
time: 2024-08-03 14:08:59 +0000 UTC, lat: 47.61375, long: -122.35299, power: 0, cadence: 49, distance: 72722
time: 2024-08-03 14:09:00 +0000 UTC, lat: 47.61370, long: -122.35291, power: 0, cadence: 49, distance: 73460
time: 2024-08-03 14:09:01 +0000 UTC, lat: 47.61367, long: -122.35284, power: 0, cadence: 49, distance: 74159
time: 2024-08-03 14:09:02 +0000 UTC, lat: 47.61362, long: -122.35278, power: 0, cadence: 0, distance: 74816
time: 2024-08-03 14:09:03 +0000 UTC, lat: 47.61358, long: -122.35271, power: 0, cadence: 0, distance: 75479
time: 2024-08-03 14:09:04 +0000 UTC, lat: 47.61354, long: -122.35265, power: 0, cadence: 12, distance: 76223
time: 2024-08-03 14:09:05 +0000 UTC, lat: 47.61349, long: -122.35258, power: 144, cadence: 71, distance: 76897
time: 2024-08-03 14:09:06 +0000 UTC, lat: 47.61344, long: -122.35252, power: 310, cadence: 74, distance: 77670
time: 2024-08-03 14:09:07 +0000 UTC, lat: 47.61339, long: -122.35245, power: 277, cadence: 81, distance: 78425
time: 2024-08-03 14:09:08 +0000 UTC, lat: 47.61335, long: -122.35236, power: 248, cadence: 79, distance: 79170
time: 2024-08-03 14:09:09 +0000 UTC, lat: 47.61332, long: -122.35226, power: 213, cadence: 82, distance: 79986
time: 2024-08-03 14:09:10 +0000 UTC, lat: 47.61327, long: -122.35217, power: 160, cadence: 81, distance: 80833
time: 2024-08-03 14:09:11 +0000 UTC, lat: 47.61323, long: -122.35209, power: 182, cadence: 84, distance: 81679
time: 2024-08-03 14:09:12 +0000 UTC, lat: 47.61319, long: -122.35200, power: 169, cadence: 87, distance: 82497
time: 2024-08-03 14:09:13 +0000 UTC, lat: 47.61314, long: -122.35191, power: 83, cadence: 76, distance: 83319
time: 2024-08-03 14:09:14 +0000 UTC, lat: 47.61310, long: -122.35182, power: 173, cadence: 76, distance: 84149
time: 2024-08-03 14:09:15 +0000 UTC, lat: 47.61306, long: -122.35174, power: 170, cadence: 76, distance: 84915
time: 2024-08-03 14:09:16 +0000 UTC, lat: 47.61302, long: -122.35165, power: 170, cadence: 76, distance: 85683
time: 2024-08-03 14:09:17 +0000 UTC, lat: 47.61297, long: -122.35158, power: 173, cadence: 85, distance: 86462
time: 2024-08-03 14:09:18 +0000 UTC, lat: 47.61293, long: -122.35149, power: 118, cadence: 85, distance: 87265
time: 2024-08-03 14:09:19 +0000 UTC, lat: 47.61288, long: -122.35141, power: 0, cadence: 85, distance: 88034
time: 2024-08-03 14:09:20 +0000 UTC, lat: 47.61284, long: -122.35133, power: 0, cadence: 85, distance: 88775
time: 2024-08-03 14:09:21 +0000 UTC, lat: 47.61280, long: -122.35126, power: 0, cadence: 0, distance: 89509
time: 2024-08-03 14:09:22 +0000 UTC, lat: 47.61275, long: -122.35120, power: 0, cadence: 0, distance: 90170
time: 2024-08-03 14:09:23 +0000 UTC, lat: 47.61272, long: -122.35114, power: 0, cadence: 0, distance: 90807
time: 2024-08-03 14:09:24 +0000 UTC, lat: 47.61267, long: -122.35107, power: 16, cadence: 18, distance: 91457
time: 2024-08-03 14:09:25 +0000 UTC, lat: 47.61263, long: -122.35101, power: 126, cadence: 78, distance: 92193
time: 2024-08-03 14:09:26 +0000 UTC, lat: 47.61260, long: -122.35094, power: 49, cadence: 66, distance: 92815
time: 2024-08-03 14:09:27 +0000 UTC, lat: 47.61258, long: -122.35087, power: 204, cadence: 74, distance: 93405
time: 2024-08-03 14:09:28 +0000 UTC, lat: 47.61258, long: -122.35078, power: 227, cadence: 77, distance: 94020
